,계정명,속성명,WebStream Measurement ID,사이트 유형,대표 URLs,웹/앱 여부,Web GTM Pubilic ID,Android GTM Pubilic ID,iOS GTM Pubilic ID,Dataset ID,마케팅 GTM,whitelist
,[GA4] Amorepacific - Global D2C,[EC] AMOREPACIFIC - HK,G-EJR4WH09BQ,이커머스,https://hk.amorepacific.com,웹,GTM-NBLCBTJ4,-,-,analytics_416696429,,hk.ap-beauty.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - HK,G-Z2V3WK588X,이커머스,https://hk.laneige.com,웹,GTM-NKW2RTVN,-,-,analytics_416681139,,hk.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - MY,G-8533Y6Z5P3,이커머스,https://my.laneige.com,웹,GTM-KN74TS2L,-,-,analytics_416669439,,my.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - SG,G-VRW0T34CQN,이커머스,https://sg.laneige.com,웹,GTM-KW72BQVV,-,-,analytics_416684339,,"laneige.com,sg.laneige.com"
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - PH,G-EC2JGYX9V1,이커머스,https://ph.laneige.com,웹,GTM-K3R7NF6B,-,-,analytics_416655966,,ph.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - TH,G-DPBJC555EH,이커머스,https://th.laneige.com,웹,GTM-NSCPDWP6,-,-,analytics_416612115,,th.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - TW,G-F6RJX3NW4L,이커머스,https://tw.laneige.com,웹,GTM-N227LWQQ,-,-,analytics_416662659,,tw.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - VN,G-GXGVWCZDZ0,이커머스,https://www.laneige.com.vn,웹,GTM-THXXNJTP,-,-,analytics_416589887,,laneige.com.vn
,[GA4] Amorepacific - Global D2C,[EC] LANEIGE - US,G-D3QLV6VJ84,이커머스,https://us.laneige.com,웹,GTM-54THZG2S,-,-,analytics_416701205,,us.laneige.com
,[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - US,G-L9NFD60EKR,이커머스,https://us.sulwhasoo.com,웹,GTM-KRZMBR4J,-,-,analytics_416705263,,us.sulwhasoo.com
,[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - HK,G-BCLD6KEN2B,이커머스,https://hk.sulwhasoo.com,웹,GTM-5Q5ZBVNS,-,-,analytics_416693456,,hk.sulwhasoo.com
