계정명,속성명,Web Stream Measurement ID,Property ID,대표 URLs,Web GTM Pubilic ID,Dataset ID
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - TW,G-6ZRD118Q83,416705264.0,https://www.innisfree.com.tw,GTM-KNJQRTPM,analytics_416705264
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - US,G-EBXVMVDCFQ,416698406.0,https://us.innisfree.com,GTM-WT798PHC,analytics_416698406
[GA4] Amorepacific - Global D2C,[EC] INNISFREE - VN,G-6BGVJBE29D,416650284.0,https://www.innisfree.vn,GTM-NN88DL78,analytics_416650284
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - HK,G-Z2V3WK588X,416681139.0,https://hk.laneige.com,GTM-NKW2RTVN,analytics_416681139
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - HK,G-Z2V3WK588X,416681139.0,hk.laneige.com,GTM-NKW2RTVN,
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - MY,G-8533Y6Z5P3,416669439.0,https://my.laneige.com,GTM-KN74TS2L,analytics_416669439
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - MY,G-8533Y6Z5P3,416669439.0,my.laneige.com,GTM-KN74TS2L,
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - PH,G-EC2JGYX9V1,416655966.0,https://ph.laneige.com,GTM-K3R7NF6B,analytics_416655966
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - PH,G-EC2JGYX9V1,416655966.0,ph.laneige.com,GTM-K3R7NF6B,
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - SG,G-VRW0T34CQN,416684339.0,https://sg.laneige.com,GTM-KW72BQVV,analytics_416684339
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - SG,G-VRW0T34CQN,416684339.0,"laneige.com,sg.laneige.com",GTM-KW72BQVV,
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - TH,G-DPBJC555EH,416612115.0,https://th.laneige.com,GTM-NSCPDWP6,analytics_416612115
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - TW,G-F6RJX3NW4L,416662659.0,https://tw.laneige.com,GTM-N227LWQQ,analytics_416662659
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - US,G-CP9M4PZYWB,416701205.0,https://us.laneige.com,GTM-54THZG2S,analytics_416701205
[GA4] Amorepacific - Global D2C,[EC] LANEIGE - VN,G-GXGVWCZDZ0,416589887.0,https://www.laneige.com.vn,GTM-THXXNJTP,analytics_416589887
[GA4] Amorepacific - Global D2C,[EC] MAKEON - JP,G-7QQ6PNWB0S,498681389.0,https://jp.make-on.com/,GTM-K9ZLSWN8,analytics_498681389
